epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.29856,0.139989,2.255701,0.1926,1.223162,1e-05,0.028000000000000004
2,2.130614,0.228583,1.985117,0.2816,1.351846,1e-05,0.046000000000000006
3,1.950438,0.283052,1.977808,0.2854,1.464376,1e-05,0.064
4,1.887441,0.310166,1.847356,0.3304,1.569494,1e-05,0.082
5,1.820931,0.333142,1.899973,0.3288,1.669633,1e-05,0.1
6,1.785817,0.349599,1.823853,0.3505,1.766016,1e-05,0.09997269020417926
7,1.740209,0.369394,1.971075,0.331,1.859402,1e-05,0.09989079067957779
8,1.70551,0.382153,1.682476,0.394,1.950268,1e-05,0.09975439098212333
9,1.692534,0.385637,1.763765,0.3934,2.038917,1e-05,0.09956364026288242
10,1.671712,0.395469,1.726455,0.3994,2.125549,1e-05,0.099318747104966
11,1.655678,0.405117,1.670577,0.4124,2.210303,1e-05,0.09901997929544674
12,1.653922,0.409637,1.95137,0.3596,2.293282,1e-05,0.0986676635325379
13,1.660112,0.405419,1.91589,0.3698,2.374545,1e-05,0.09826218506835357
14,1.654797,0.407782,1.715623,0.3984,2.454075,1e-05,0.09780398728764117
15,1.630064,0.41446,1.763018,0.4044,2.532065,1e-05,0.0972935712229467
16,1.626192,0.415738,1.679526,0.4194,2.608566,1e-05,0.09673149500674308
17,1.609786,0.424713,1.668265,0.4306,2.683632,1e-05,0.09611837326112038
18,1.601199,0.425418,1.654567,0.4207,2.757319,1e-05,0.09545487642570569
19,1.606,0.423224,1.621975,0.4327,2.829688,1e-05,0.09474173002454715
20,1.595623,0.426886,1.619881,0.4286,2.900805,1e-05,0.09397971387276415
21,1.599566,0.430566,1.738254,0.4263,2.970737,1e-05,0.09316966122383083
22,1.595288,0.428893,1.680605,0.4295,3.039559,1e-05,0.09231245785842573
23,1.582385,0.4349,1.590101,0.4395,3.107057,1e-05,0.09140904111584361
24,1.604424,0.429304,1.714291,0.4157,3.1735,1e-05,0.09046039886902862
25,1.582205,0.429472,1.768299,0.4095,3.239018,1e-05,0.08946756844434986
26,1.592798,0.429731,1.644257,0.4415,3.303698,1e-05,0.08843163548730011
27,1.587763,0.430961,1.686114,0.4193,3.367219,1e-05,0.08735373277535849
28,1.587973,0.43207,1.638847,0.4281,3.429868,1e-05,0.08623503897931489
29,1.581605,0.432682,1.784211,0.4044,3.491889,1e-05,0.08507677737441079
30,1.579669,0.434307,1.651351,0.4254,3.552857,1e-05,0.08388021450270576
31,1.589759,0.433212,1.655588,0.4281,3.613103,1e-05,0.08264665878813221
32,1.584406,0.436563,1.627565,0.4271,3.672819,1e-05,0.08137745910575317
33,1.578968,0.435418,1.599474,0.4393,3.731434,1e-05,0.0800740033067871
34,1.583924,0.432759,1.69714,0.4191,3.789788,1e-05,0.07873771670101302
35,1.582129,0.434465,1.590017,0.4417,3.847045,1e-05,0.07737006049821522
36,1.584947,0.436641,1.66972,0.4193,3.90406,1e-05,0.07597253021037169
37,1.570844,0.442465,1.629425,0.439,3.960107,1e-05,0.07454665401633387
38,1.585637,0.44102,1.610967,0.4309,4.015946,1e-05,0.07309399109078546
39,1.58076,0.443308,1.716252,0.4214,4.070798,1e-05,0.07161612989930771
