epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.298969,0.146335,2.277622,0.1948,1.076683,1e-05,0.13999999999999999
2,2.236208,0.259561,2.179863,0.3188,1.370791,1e-05,0.22999999999999995
3,2.07019,0.352392,1.971487,0.2568,1.613524,1e-05,0.31999999999999995
4,2.101319,0.263563,1.850035,0.3912,1.825627,1e-05,0.4099999999999999
5,1.919463,0.316176,2.322685,0.1735,2.01688,1e-05,0.5
6,1.790594,0.360288,1.552829,0.4726,2.192775,1e-05,0.49986334167236446
7,1.536885,0.444844,1.452453,0.4558,2.35695,1e-05,0.4994535161233327
8,1.460319,0.476065,1.267547,0.5551,2.511476,1e-05,0.4987709714911256
9,1.295156,0.535084,1.315614,0.5315,2.658063,1e-05,0.4978164541282774
10,1.249567,0.55823,1.305823,0.5392,2.798167,1e-05,0.4965910077855104
11,1.179406,0.579871,1.006655,0.6408,2.932422,1e-05,0.4950959724704086
12,1.089374,0.630143,0.892114,0.6987,3.06174,1e-05,0.49333298298213907
13,1.140748,0.609996,1.038633,0.6418,3.186509,1e-05,0.4913039671238233
14,0.94155,0.675758,1.146186,0.5945,3.307605,1e-05,0.4890111435945127
15,0.9165,0.690614,0.772921,0.7249,3.424954,1e-05,0.48645701956307363
16,0.78725,0.734788,0.918987,0.6939,3.539323,1e-05,0.4836443879266353
17,0.937256,0.696805,0.738929,0.7535,3.650862,1e-05,0.48057632425659735
18,0.715127,0.761456,0.76181,0.7476,3.759615,1e-05,0.4772561834355382
19,0.765725,0.754895,0.721237,0.7632,3.865925,1e-05,0.47368759598869986
20,0.677812,0.783803,0.532855,0.8251,3.970056,1e-05,0.469874464114062
21,0.605401,0.807625,0.508763,0.8409,4.071979,1e-05,0.4658209574153456
22,0.594122,0.816101,0.502707,0.8399,4.171876,1e-05,0.4615315083426128
23,0.557429,0.831725,0.545447,0.8311,4.270005,1e-05,0.45701080734544763
24,0.514656,0.845937,0.414171,0.8746,4.366578,1e-05,0.45226379774401815
25,0.488848,0.856119,0.388988,0.8827,4.461821,1e-05,0.4472956703236286
26,0.507494,0.853443,0.47409,0.8582,4.554891,1e-05,0.44211185765867195
27,0.489935,0.858544,0.398498,0.8813,4.646885,1e-05,0.4367180281721893
28,0.402614,0.886858,0.351392,0.8981,4.737792,1e-05,0.4311200799375327
29,0.429586,0.878397,0.376314,0.8856,4.826835,1e-05,0.42532413422890847
30,0.401086,0.887932,0.334754,0.9033,4.915373,1e-05,0.419336528827854
31,0.389573,0.890086,0.367982,0.8952,5.002009,1e-05,0.41316381109296596
32,0.382976,0.893465,0.337962,0.9021,5.08824,1e-05,0.4068127308004606
33,0.346714,0.903719,0.310213,0.9109,5.172769,1e-05,0.40029023276339215
34,0.357772,0.900137,0.313188,0.9126,5.257063,1e-05,0.39360344923760177
35,0.320108,0.911519,0.284773,0.9165,5.339503,1e-05,0.38675969212270067
36,0.331557,0.908219,0.330739,0.9075,5.421943,1e-05,0.37976644496661477
37,0.325055,0.912353,0.270135,0.9237,5.502627,1e-05,0.3726313547824355
38,0.304586,0.917268,0.260599,0.9265,5.582995,1e-05,0.36536222368652305
39,0.314797,0.913459,0.334859,0.9085,5.662595,1e-05,0.3579670003670063
40,0.300281,0.918001,0.256839,0.9283,5.740909,1e-05,0.3504537713920097
41,0.303703,0.919651,0.272578,0.9252,5.819223,1e-05,0.34283075236710925
42,0.302386,0.919504,0.260999,0.9276,5.896177,1e-05,0.33510627895168865
43,0.28268,0.924028,0.24713,0.9313,5.972454,1e-05,0.32728879774401815
44,0.285028,0.92414,0.241731,0.9323,6.04873,1e-05,0.3193868570450231
45,0.280579,0.924524,0.241869,0.9318,6.123596,1e-05,0.3114090975108428
46,0.28068,0.925712,0.236232,0.9343,6.197852,1e-05,0.3033642427043996
47,0.273829,0.927241,0.2373,0.9353,6.272108,1e-05,0.29526108955631086
48,0.27696,0.927539,0.232617,0.9372,6.345497,1e-05,0.2871084987455749
49,0.26928,0.928872,0.241545,0.9363,6.41775,1e-05,0.27891538501054813
50,0.274426,0.930355,0.237317,0.9359,6.490002,1e-05,0.2706907074008095
51,0.268635,0.930143,0.233872,0.9376,6.562254,1e-05,0.262443459480572
