epoch,train_loss,train_accuracy,eval_loss,eval_accuracy,epsilon,delta,learning_rate
1,2.292837,0.13295,2.257674,0.2778,,,0.15
2,2.252922,0.2241,2.195534,0.1331,,,0.1499624924075473
3,2.007349,0.293217,1.750025,0.414,,,0.1498500073971554
4,1.978468,0.348917,1.897091,0.2812,,,0.14966265823169483
5,1.742364,0.39095,1.560763,0.4787,,,0.14940063355589428
6,1.455518,0.5111,1.297897,0.5737,,,0.1490641972063914
7,1.374297,0.5306,1.248635,0.5555,,,0.1486536879460717
8,1.140623,0.624183,1.026295,0.679,,,0.1481695191229629
9,1.047724,0.648533,0.900083,0.7009,,,0.1476121782540286
10,0.905952,0.696467,0.795503,0.7485,,,0.14698222653428009
11,0.759669,0.76925,1.118875,0.6026,,,0.14628029827170044
12,0.788817,0.74055,0.611351,0.8089,,,0.14550710024855018
13,0.569867,0.837367,1.14683,0.6622,,,0.1446634110096974
14,0.598666,0.82085,0.465259,0.881,,,0.14375008007868917
15,0.420388,0.89215,0.343249,0.9151,,,0.14276802710235328
16,0.336049,0.9124,0.310621,0.9173,,,0.1417182409247918
17,0.294403,0.922633,0.263136,0.9332,,,0.14060177859169898
18,0.256797,0.931567,0.246401,0.9372,,,0.13941976428600578
19,0.26929,0.923317,0.333665,0.8919,,,0.13817338819592298
20,0.249614,0.929267,0.194538,0.9485,,,0.1368639053165225
21,0.194686,0.948083,0.172749,0.9542,,,0.13549263418606383
22,0.172455,0.953717,0.160277,0.9589,,,0.13406095555833764
23,0.163276,0.956483,0.149191,0.9606,,,0.13257031101236383
24,0.149846,0.959967,0.163013,0.9553,,,0.13102220150084368
25,0.14099,0.9622,0.132144,0.9639,,,0.12941818583882767
26,0.127387,0.965967,0.130133,0.9652,,,0.12775987913412087
27,0.122571,0.96725,0.11753,0.9684,,,0.12604895116100628
28,0.118881,0.968083,0.118522,0.9658,,,0.12428712467892368
29,0.109424,0.97115,0.125282,0.9654,,,0.12247617369779687
30,0.164205,0.952417,0.127977,0.9642,,,0.1206179216917561
31,0.123224,0.96645,0.114698,0.9673,,,0.1187142397630542
32,0.107351,0.970733,0.098952,0.974,,,0.11676704475802516
33,0.095893,0.975367,0.099403,0.971,,,0.11477829733698236
34,0.091069,0.976683,0.092352,0.9747,,,0.11274999999999993
35,0.087248,0.977733,0.095217,0.9738,,,0.1106841950705648
36,0.086451,0.977133,0.089898,0.9755,,,0.10858296263913012
37,0.082717,0.978583,0.08951,0.9751,,,0.10644841846864049
38,0.081234,0.977783,0.086845,0.975,,,0.10428271186413801
39,0.075716,0.98025,0.080913,0.9757,,,0.10208802350859439
40,0.073747,0.981217,0.091331,0.9715,,,0.09986656326714786
41,0.074499,0.980283,0.081805,0.9751,,,0.09762056796195642
42,0.071632,0.981683,0.07787,0.9772,,,0.09535229911990754
43,0.068953,0.9821,0.077019,0.9771,,,0.09306404069545227
44,0.065767,0.983233,0.078964,0.9783,,,0.09075809677085664
45,0.067371,0.9825,0.082983,0.976,,,0.08843678923618625
46,0.065452,0.983183,0.07518,0.9775,,,0.08610245545135967
47,0.062134,0.984083,0.077406,0.9775,,,0.08375744589262527
48,0.063721,0.98335,0.074918,0.9769,,,0.08140412178583067
49,0.058959,0.984967,0.06994,0.9799,,,0.07904485272886876
50,0.058627,0.985133,0.068478,0.9803,,,0.07668201430569316
51,0.055639,0.985883,0.069299,0.9806,,,0.07431798569430675
52,0.054139,0.9864,0.068852,0.9785,,,0.07195514727113114
53,0.053375,0.986833,0.06931,0.9802,,,0.0695958782141692
54,0.052633,0.987233,0.072363,0.9794,,,0.06724255410737463
55,0.05269,0.986733,0.064159,0.9813,,,0.06489754454864022
56,0.050816,0.98715,0.066811,0.9812,,,0.06256321076381365
57,0.048894,0.988067,0.063501,0.9814,,,0.06024190322914326
58,0.048419,0.987883,0.063355,0.9814,,,0.057935959304547646
59,0.047637,0.988417,0.063223,0.9806,,,0.05564770088009234
60,0.047044,0.98875,0.064212,0.9811,,,0.05337943203804349
61,0.046364,0.988717,0.065283,0.9795,,,0.05113343673285207
62,0.04574,0.9885,0.064954,0.9806,,,0.048911976491405516
63,0.04461,0.98925,0.063708,0.9809,,,0.046717288135861894
64,0.043551,0.989483,0.061819,0.9815,,,0.04455158153135942
65,0.043308,0.989567,0.06149,0.9815,,,0.04241703736086979
66,0.0436,0.989467,0.06274,0.981,,,0.040315804929435116
67,0.043751,0.989133,0.065241,0.9795,,,0.038249999999999985
68,0.04232,0.989583,0.059962,0.9815,,,0.03622170266301753
69,0.04153,0.990133,0.060621,0.983,,,0.034232955241974755
70,0.041698,0.989983,0.06033,0.9813,,,0.03228576023694572
